Date,Open,High,Low,Close,Adj Close,Volume
3/10/20,30.370001,35.02,30.200001,31.129999,31.129999,997569
3/11/20,34.619999,36.349998,32.560001,34.360001,34.360001,824665
3/12/20,33.07,33.630001,30.02,32.98,32.98,963502
3/13/20,31.18,33.869999,31.129999,32.93,32.93,338062052
3/15/20,33.75,33.75,29.75,30.389999,30.389999,3617072
3/16/20,33.75,33.75,28.1,31.73,31.73,663525
3/17/20,28.690001,30.299999,26.629999,28.700001,28.700001,521494
3/18/20,27.299999,27.6,20.52,27.33,27.33,912915
3/19/20,22.82,28.280001,21.77,20.83,20.83,1079855
3/20/20,25.59,28.49,22.389999,25.91,25.91,1092222
3/22/20,22.52,23.07,20.799999,21.35,21.35,3444774
3/23/20,22.709999,24.6,21.790001,24.49,24.49,409555748
3/24/20,24.139999,25.16,23.09,24.49,24.49,300487899
3/25/20,24.83,25.07,22.91,24.190001,24.190001,290068877
3/26/20,24.17,24.219999,22.379999,23,23,269457259
3/27/20,23.08,23.139999,20.879999,21.84,21.84,249623140
3/29/20,20.93,20.93,19.92,20.35,20.35,3163583
3/30/20,20.49,20.860001,19.27,20.459999,20.459999,329616292
3/31/20,21.290001,21.889999,20.01,20.24,20.24,290761366
4/1/20,20.549999,21.549999,19.9,21.200001,21.200001,287280828
4/2/20,21.25,27.360001,21.219999,24.76,24.76,434785466
4/3/20,24.110001,29.129999,23.68,29,29,459932157
4/6/20,27.35,28.24,25.91,26.799999,26.799999,383395010
4/7/20,26.34,27.24,23.540001,26.08,26.08,686575
4/8/20,24.92,26.610001,23.74,26.33,26.33,280767852
4/9/20,25.950001,28.360001,22.57,23.190001,23.190001,390788186
4/12/20,24.6,24.74,22.030001,23.129999,23.129999,4624660
4/13/20,23.870001,24,22.299999,22.93,22.93,350836440
4/14/20,22.709999,22.799999,19.950001,20.860001,20.860001,280013006
4/15/20,20.610001,20.620001,19.33,20.26,20.26,237486260
4/16/20,20.01,20.4,19.42,19.950001,19.950001,147063051
4/17/20,19.709999,19.77,17.309999,18.120001,18.120001,111565873
4/19/20,17.48,17.58,16.93,16.99,16.99,341851
4/20/20,15.27,15.31,-39.439999,-2.6,-2.6,72607189
4/21/20,1.4,13.86,0.01,9.06,9.06,1772174
4/22/20,11.09,16.18,10.54,14.31,14.31,525767703
4/23/20,14.55,18.26,14.44,17.09,17.09,369767725
4/24/20,17.83,17.969999,15.64,17.18,17.18,268355667
4/26/20,16.459999,16.790001,16.440001,16.559999,16.559999,906406
4/27/20,15.69,15.69,11.88,12.44,12.44,277288124
4/28/20,11.1,13.85,10.07,13.35,13.35,411258178
4/29/20,14.09,16.780001,13.23,16.01,16.01,247884855
4/30/20,15.64,19.440001,15.45,15.06,15.06,501420
5/1/20,19.040001,20.48,18.07,18.84,18.84,368386
5/3/20,19.35,19.530001,18.5,18.629999,18.629999,1028390
5/4/20,19.110001,21.42,18.049999,19.780001,19.780001,286630
5/5/20,21.809999,26.08,21.610001,25.870001,25.870001,167421985
5/6/20,27.450001,27.98,24.549999,26.49,26.49,394768
5/7/20,23.98,26.74,22.940001,23.459999,23.459999,122539414
5/8/20,23.879999,24.99,23.34,24.629999,24.629999,77581336
5/10/20,24.5,24.75,24.129999,24.67,24.67,324949
5/11/20,25.91,26.73,24.790001,26.17,26.17,397699
5/12/20,24.379999,26.23,24.219999,25.16,25.16,58355014
5/13/20,25.59,26.450001,24.790001,25.57,25.57,47297202
5/14/20,25.48,27.959999,25.440001,27.73,27.73,45092183
5/15/20,27.84,29.92,27.690001,29.65,29.65,32436218
5/17/20,29.530001,30.32,29.530001,30.26,30.26,43749
5/18/20,30.49,33.439999,30.43,33.23,33.23,15218226
5/19/20,32.549999,33.150002,31.34,32.360001,32.360001,1179245
5/20/20,31.67,33.779999,31.629999,33.59,33.59,162969090
5/21/20,33.66,34.66,33.259998,33.959999,33.959999,166158477
5/22/20,31.84,33.639999,31.32,33.560001,33.560001,234556277
5/24/20,33.060001,33.09,32.790001,32.93,32.93,523787
5/25/20,33.59,34.18,33.27,33.939999,33.939999,60275983
